1 天津卫视,rtp://225.1.1.1:5002
2 天津新闻,rtp://225.1.1.2:5002
3 天津文艺,rtp://225.1.1.3:5002
4 天津影视,rtp://225.1.1.4:5002
5 天津都市,rtp://225.1.1.5:5002
6 天津体育,rtp://225.1.1.6:5002
7 天津教育,rtp://225.1.1.7:5002
9 三佳购物,rtp://225.1.1.11:5002
10 食全食美,rtp://225.1.1.109:5002
12 央广购物,rtp://225.1.1.65:5002
13 中央—1,rtp://225.1.1.12:5002
14 中央—2,rtp://225.1.1.13:5002
15 中央—3,rtp://225.1.1.14:5002
16 中央—4,rtp://225.1.1.15:5002
17 中央—5,rtp://225.1.1.16:5002
18 中央—6,rtp://225.1.1.17:5002
19 中央—7,rtp://225.1.1.18:5002
20 中央—8,rtp://225.1.1.19:5002
21 中央—9,rtp://225.1.1.20:5002
22 中央—10,rtp://225.1.1.21:5002
23 中央—11,rtp://225.1.1.22:5002
24 中央—12,rtp://225.1.1.23:5002
25 中央—13,rtp://225.1.1.24:5002
26 中央—14,rtp://225.1.1.25:5002
27 中央—15,rtp://225.1.1.26:5002
28 中央英语NEWS,rtp://225.1.1.27:5002
29 广东卫视,rtp://225.1.1.29:5002
30 甘肃卫视,rtp://225.1.1.30:5002
31 海南卫视,rtp://225.1.1.31:5002
32 内蒙古卫视,rtp://225.1.1.32:5002
33 浙江卫视,rtp://225.1.1.33:5002
34 湖南卫视,rtp://225.1.1.34:5002
35 新疆卫视,rtp://225.1.1.35:5002
36 湖北卫视,rtp://225.1.1.36:5002
37 四川卫视,rtp://225.1.1.37:5002
39 江西卫视,rtp://225.1.1.39:5002
40 辽宁卫视,rtp://225.1.1.40:5002
41 陕西卫视,rtp://225.1.1.41:5002
42 安徽卫视,rtp://225.1.1.42:5002
43 深圳卫视,rtp://225.1.1.43:5002
44 吉林卫视,rtp://225.1.1.44:5002
45 上海东方卫视,rtp://225.1.1.45:5002
47 北京卫视,rtp://225.1.1.47:5002
49 河北卫视,rtp://225.1.1.49:5002
50 山西卫视,rtp://225.1.1.50:5002
51 西藏卫视,rtp://225.1.1.51:5002
52 江苏卫视,rtp://225.1.1.52:5002
53 河南卫视,rtp://225.1.1.53:5002
54 青海卫视,rtp://225.1.1.54:5002
55 中央—9（英语）,rtp://225.1.1.55:5002
56 宁夏卫视,rtp://225.1.1.56:5002
57 兵团卫视,rtp://225.1.1.57:5002
58 卡酷卡通,rtp://225.1.1.58:5002
60 重庆卫视,rtp://225.1.1.60:5002
61 云南卫视,rtp://225.1.1.61:5002
62 炫动卡通,rtp://225.1.1.62:5002
63 贵州卫视,rtp://225.1.1.63:5002
65 黑龙江卫视,rtp://225.1.1.28:5002
66 聚鲨环球精选,rtp://225.1.1.102:5002
68 好享购物,rtp://225.1.1.224:5002
69 优购物,rtp://225.1.1.225:5002
70 家有购物,rtp://225.1.1.226:5002
71 家家购物,rtp://225.1.1.227:5002
72 三佳购物精选高清,rtp://225.1.1.118:5002
73 家庭理财,rtp://225.1.2.23:5002
74 快乐购,rtp://225.1.2.24:5002
77 曲艺大观标清,rtp://225.1.2.54:5002
83 中视购物,rtp://225.1.2.85:5002
84 山东教育,rtp://225.1.2.118:5002
85 中国天气,rtp://225.1.2.119:5002
86 风尚购物,rtp://225.1.2.204:5002
87 三沙卫视,rtp://225.1.2.181:5002
88 爱心扶贫,rtp://225.1.2.180:5002
100 中央-17标清,rtp://225.1.2.127:5002
101 央广购物2,rtp://225.1.1.238:5002
102 时尚购物,rtp://225.1.1.242:5002
200 潮流音乐,rtp://225.1.2.56:5002
208 老故事（付费）,rtp://225.1.1.188:5002
213 中学生,rtp://225.1.1.193:5002
215 环球奇观,rtp://225.1.1.197:5002
225 汽摩（付费）,rtp://225.1.1.205:5002
231 蓟州台,rtp://225.1.1.81:5002
234 动漫秀场,rtp://225.1.1.67:5002
235 游戏风云,rtp://225.1.1.68:5002
238 欢笑剧场,rtp://225.1.1.71:5002
240 生活时尚,rtp://225.1.1.73:5002
241 全纪实,rtp://225.1.1.74:5002
242 都市剧场,rtp://225.1.1.75:5002
244 法治天地,rtp://225.1.1.84:5002
245 金色频道,rtp://225.1.1.85:5002
250 CHC家庭影院标清,rtp://225.1.1.220:5002
251 CHC动作电影标清,rtp://225.1.1.221:5002
252 新动漫,rtp://225.1.1.216:5002
255 先锋乒羽,rtp://225.1.1.219:5002
256 发现之旅,rtp://225.1.1.183:5002
266 快乐垂钓,rtp://225.1.2.20:5002
267 茶,rtp://225.1.2.21:5002
268 书画,rtp://225.1.2.22:5002
270 中华特产,rtp://225.1.2.197:5002
272 财富天下,rtp://225.1.2.198:5002
273 车迷频道,rtp://225.1.2.199:5002
274 环球旅游,rtp://225.1.2.200:5002
275 生态环境,rtp://225.1.2.201:5002
276 四海钓鱼,rtp://225.1.2.202:5002
277 经典重温标清,rtp://225.1.2.131:5002
278 优优宝贝,rtp://225.1.2.203:5002
280 东方财经高清,rtp://225.1.1.247:5002
290 经典老片场,rtp://225.1.2.124:5002
301 天津卫视高清频道,rtp://225.1.1.111:5002
302 天津新闻高清,rtp://225.1.1.130:5002
303 天津文艺高清,rtp://225.1.1.131:5002
304 天津影视高清,rtp://225.1.1.149:5002
305 天津都市高清,rtp://225.1.1.128:5002
306 天津体育高清,rtp://225.1.1.122:5002
307 天津科教高清,rtp://225.1.1.129:5002
309 三佳购物高清,rtp://225.1.1.151:5002
310 油田企业高清频道,rtp://225.1.2.14:5002
313 CCTV—1综合高清,rtp://225.1.1.120:5002
314 CCTV—2财经高清,rtp://225.1.1.133:5002
315 中央-3高清,rtp://225.1.1.158:5002
316 CCTV-4央视国际,rtp://225.1.1.150:5002
317 中央-5高清,rtp://225.1.1.160:5002
318 CCTV—5体育赛事,rtp://225.1.1.121:5002
319 中央-6高清,rtp://225.1.1.195:5002
320 中央-7高清,rtp://225.1.1.138:5002
321 中央-8高清,rtp://225.1.1.196:5002
322 CCTV—9纪录高清,rtp://225.1.1.119:5002
323 CCTV—10科教高清,rtp://225.1.1.140:5002
324 中央-11高清,rtp://225.1.2.192:5002
325 CCTV—12社会与法高清,rtp://225.1.1.142:5002
326 中央-13高清,rtp://225.1.2.193:5002
327 CCTV—14少儿高清,rtp://225.1.1.144:5002
328 中央-15高清,rtp://225.1.2.194:5002
329 中央-17高清,rtp://225.1.2.52:5002
331 浙江卫视高清频道,rtp://225.1.1.112:5002
332 北京卫视高清频道,rtp://225.1.1.113:5002
333 湖南卫视高清频道,rtp://225.1.1.114:5002
334 黑龙江卫视高清频道,rtp://225.1.1.115:5002
335 广东卫视高清频道,rtp://225.1.1.116:5002
336 深圳卫视高清频道,rtp://225.1.1.117:5002
337 湖北卫视高清,rtp://225.1.1.147:5002
339 四川卫视高清,rtp://225.1.1.123:5002
340 金鹰纪实高清,rtp://225.1.1.124:5002
341 江苏卫视高清,rtp://225.1.1.126:5002
342 安徽卫视高清,rtp://225.1.1.127:5002
343 辽宁卫视高清,rtp://225.1.1.154:5002
344 重庆卫视高清,rtp://225.1.1.155:5002
355 上海东方卫视高清,rtp://225.1.2.31:5002
356 河北卫视高清,rtp://225.1.2.27:5002
357 吉林卫视高清,rtp://225.1.2.26:5002
358 江西卫视高清,rtp://225.1.2.29:5002
359 贵州卫视高清,rtp://225.1.2.28:5002
361 上海纪实高清,rtp://225.1.2.25:5002
362 河南卫视高清,rtp://225.1.2.61:5002
363 广西卫视高清,rtp://225.1.2.81:5002
364 海南卫视高清,rtp://225.1.2.82:5002
365 中央-16高清,rtp://225.1.2.237:5002
366 金鹰卡通高清,rtp://225.1.2.236:5002
367 梨园高清,rtp://225.1.2.104:5002
368 文物宝库高清,rtp://225.1.2.105:5002
369 武术世界高清,rtp://225.1.2.129:5002
370 INBM证券服务,rtp://225.1.1.72:5002
371 三沙卫视高清,rtp://225.1.1.182:5002
372 聚鲨环球精品高清,rtp://225.1.1.245:5002
373 甘肃卫视高清,rtp://225.1.1.159:5002
400 魅力足球高清,rtp://225.1.1.137:5002
401 动漫秀场高清,rtp://225.1.1.134:5002
402 游戏风云高清,rtp://225.1.1.135:5002
405 欢笑剧场高清,rtp://225.1.1.139:5002
407 生活时尚高清,rtp://225.1.1.143:5002
408 全纪实高清,rtp://225.1.1.145:5002
409 都市剧场高清,rtp://225.1.1.146:5002
413 百视通赛事1,rtp://225.1.1.162:5002
414 百视通赛事2,rtp://225.1.1.163:5002
415 百视通赛事3,rtp://225.1.1.164:5002
416 百视通赛事4,rtp://225.1.1.165:5002
417 百视通赛事5,rtp://225.1.1.166:5002
418 百视通赛事6,rtp://225.1.1.167:5002
419 百视通赛事7,rtp://225.1.1.168:5002
420 百视通赛事8,rtp://225.1.1.169:5002
421 百视通赛事9,rtp://225.1.1.170:5002
422 百视通赛事10,rtp://225.1.1.211:5002
423 百视通赛事11,rtp://225.1.1.212:5002
424 CHC家庭影院,rtp://225.1.1.213:5002
425 CHC高清电影,rtp://225.1.1.214:5002
426 CHC动作电影,rtp://225.1.1.215:5002
427 法治天地高清,rtp://225.1.1.237:5002
428 金色频道高清,rtp://225.1.1.236:5002
429 快乐垂钓高清,rtp://225.1.2.18:5002
430 茶高清,rtp://225.1.2.19:5002
436 健康直通车高清,rtp://225.1.2.183:5002
437 东方购物高清,rtp://225.1.1.181:5002
470 爱心扶贫高清,rtp://225.1.2.132:5002
501 文艺广播,rtp://225.1.1.171:5002
502 经济广播,rtp://225.1.1.172:5002
503 新闻广播,rtp://225.1.1.173:5002
504 生活广播,rtp://225.1.1.174:5002
505 交通广播,rtp://225.1.1.175:5002
506 相声广播,rtp://225.1.1.176:5002
507 小说广播,rtp://225.1.1.177:5002
508 滨海广播,rtp://225.1.1.178:5002
509 音乐广播,rtp://225.1.1.179:5002
510 动听885,rtp://225.1.1.180:5002
601 宝坻台,rtp://225.1.1.83:5002
602 静海台,rtp://225.1.1.110:5002
603 河东台,rtp://225.1.2.2:5002
604 滨海1,rtp://225.1.2.7:5002
605 滨海2,rtp://225.1.2.8:5002
607 河西台,rtp://225.1.2.4:5002
608 蓟州台高清,rtp://225.1.1.82:5002
629 风云足球高清,rtp://225.1.2.168:5002
630 高尔夫网球高清,rtp://225.1.2.169:5002
631 第一剧场高清,rtp://225.1.2.175:5002
632 怀旧剧场高清,rtp://225.1.2.173:5002
633 风云剧场高清,rtp://225.1.2.174:5002
634 世界地理高清,rtp://225.1.2.171:5002
635 兵器科技高清,rtp://225.1.2.166:5002
636 央视文化精品高清,rtp://225.1.2.177:5002
637 女性时尚高清,rtp://225.1.2.172:5002
638 风云音乐高清,rtp://225.1.2.176:5002
639 电视指南高清,rtp://225.1.2.167:5002
640 央视台球高清,rtp://225.1.2.170:5002
643 早期教育高清,rtp://225.1.2.207:5002
644 4K欢笑剧场,rtp://225.1.1.152:5002
645 精彩影视,rtp://225.1.1.141:5002
646 CCTV-4K,rtp://225.1.2.245:5002
700 潮流音乐高清,rtp://225.1.2.55:5002
